run,modulation_factor_curve,error_curve,chi2_curve,modulation_factor_stokes,error_stokes,polarization_angle,polarization_angle_err,NPIP,w_facto,threshold,remove_noise_value
0,0.298,0.040,1.161,0.295,0.164,3.076,15.538,600,3,8,30
1,0.304,0.040,0.941,0.299,0.129,3.707,11.888,600,3,8,5
10,0.304,0.040,1.034,0.302,0.148,3.264,13.612,600,3,6,20
100,0.283,0.037,0.908,0.281,0.152,3.050,15.105,600,2,3,0
1000,0.280,0.037,0.861,0.278,0.150,3.291,15.038,350,7,10,15
10000,0.301,0.039,1.108,0.299,0.131,3.679,12.140,450,5,9,10
10001,0.290,0.039,1.059,0.284,0.141,3.583,13.800,450,5,9,25
10002,0.291,0.039,1.024,0.290,0.144,3.385,13.864,450,5,9,15
10003,0.302,0.040,1.187,0.297,0.140,3.511,13.029,450,5,2,30
10004,0.329,0.042,1.299,0.325,0.138,3.401,11.716,450,5,2,5
10005,0.329,0.042,1.214,0.326,0.140,3.349,11.860,450,5,2,0
10006,0.319,0.041,1.059,0.314,0.143,3.342,12.621,450,5,2,20
10007,0.325,0.042,1.179,0.323,0.131,3.617,11.153,450,5,2,10
10008,0.313,0.041,1.089,0.305,0.141,3.421,12.849,450,5,2,25
10009,0.329,0.042,1.002,0.321,0.139,3.414,11.961,450,5,2,15
1001,0.291,0.039,1.001,0.287,0.151,3.242,14.714,350,7,4,30
10010,0.268,0.036,0.963,0.263,0.238,2.080,25.706,450,8,8,30
10011,0.275,0.036,1.052,0.275,0.155,3.017,15.858,450,8,8,5
10012,0.275,0.036,1.052,0.275,0.155,3.017,15.858,450,8,8,0
10013,0.266,0.036,0.897,0.265,0.183,2.629,19.507,450,8,8,20
10014,0.278,0.037,0.991,0.274,0.153,3.092,15.599,450,8,8,10
10015,0.259,0.035,0.883,0.256,0.199,2.445,22.090,450,8,8,25
10016,0.270,0.036,0.995,0.267,0.166,2.868,17.503,450,8,8,15
10017,0.268,0.036,1.004,0.261,0.159,3.094,17.110,450,8,6,30
10018,0.288,0.038,0.989,0.284,0.151,3.093,14.831,450,8,6,5
10019,0.288,0.038,0.989,0.284,0.151,3.093,14.831,450,8,6,0
1002,0.308,0.040,0.996,0.307,0.136,3.445,12.272,350,7,4,5
10020,0.278,0.037,0.962,0.273,0.191,2.474,19.799,450,8,6,20
10021,0.281,0.037,1.064,0.281,0.148,3.180,14.670,450,8,6,10
10022,0.266,0.036,0.956,0.262,0.142,3.427,15.196,450,8,6,25
10023,0.278,0.037,0.945,0.276,0.158,2.982,16.109,450,8,6,15
10024,0.264,0.036,1.008,0.263,0.203,2.523,21.829,450,8,10,30
10025,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,5
10026,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,0
10027,0.271,0.037,0.955,0.261,0.210,2.340,22.840,450,8,10,20
10028,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,10
10029,0.269,0.037,1.001,0.263,0.208,2.416,22.388,450,8,10,25
1003,0.313,0.041,0.997,0.308,0.139,3.377,12.463,350,7,4,0
10030,0.269,0.036,0.902,0.260,0.154,3.183,16.598,450,8,10,15
10031,0.272,0.036,1.024,0.267,0.159,3.073,16.699,450,8,4,30
10032,0.288,0.038,1.119,0.288,0.147,3.170,14.186,450,8,4,5
10033,0.291,0.038,1.081,0.290,0.148,3.144,14.232,450,8,4,0
10034,0.275,0.037,1.132,0.274,0.178,2.647,18.337,450,8,4,20
10035,0.290,0.038,1.017,0.285,0.136,3.450,13.270,450,8,4,10
10036,0.271,0.036,1.046,0.269,0.152,3.157,15.906,450,8,4,25
10037,0.280,0.037,1.151,0.280,0.154,3.055,15.385,450,8,4,15
10038,0.272,0.036,0.970,0.268,0.166,2.926,17.362,450,8,3,30
10039,0.293,0.038,1.093,0.291,0.150,3.096,14.357,450,8,3,5
1004,0.295,0.039,1.083,0.295,0.168,2.828,15.928,350,7,4,20
10040,0.292,0.038,0.994,0.292,0.152,3.052,14.512,450,8,3,0
10041,0.280,0.037,1.074,0.277,0.176,2.672,17.853,450,8,3,20
10042,0.290,0.038,1.034,0.289,0.142,3.307,13.640,450,8,3,10
10043,0.270,0.036,1.039,0.271,0.146,3.293,15.080,450,8,3,25
10044,0.284,0.037,1.045,0.283,0.160,2.922,15.861,450,8,3,15
10045,0.271,0.036,1.032,0.265,0.157,3.116,16.702,450,8,5,30
10046,0.289,0.038,1.060,0.286,0.142,3.273,13.856,450,8,5,5
10047,0.289,0.038,1.060,0.286,0.142,3.273,13.856,450,8,5,0
10048,0.276,0.037,1.055,0.273,0.177,2.672,18.251,450,8,5,20
10049,0.282,0.037,0.954,0.282,0.145,3.230,14.336,450,8,5,10
1005,0.304,0.040,1.059,0.303,0.129,3.693,11.692,350,7,4,10
10050,0.272,0.036,0.933,0.265,0.147,3.285,15.564,450,8,5,25
10051,0.280,0.037,1.052,0.278,0.154,3.058,15.525,450,8,5,15
10052,0.278,0.037,1.009,0.274,0.165,2.914,16.912,450,8,1,30
10053,0.294,0.038,1.062,0.293,0.147,3.154,13.961,450,8,1,5
10054,0.301,0.039,1.195,0.294,0.148,3.117,14.071,450,8,1,0
10055,0.280,0.037,1.082,0.283,0.155,3.042,15.302,450,8,1,20
10056,0.290,0.038,1.102,0.290,0.141,3.307,13.509,450,8,1,10
10057,0.275,0.037,0.935,0.275,0.151,3.167,15.324,450,8,1,25
10058,0.294,0.038,0.996,0.289,0.150,3.118,14.479,450,8,1,15
10059,0.268,0.036,0.945,0.262,0.190,2.589,20.517,450,8,7,30
1006,0.291,0.038,1.078,0.289,0.146,3.322,14.080,350,7,4,25
10060,0.280,0.037,0.984,0.280,0.161,2.895,16.128,450,8,7,5
10061,0.280,0.037,0.984,0.280,0.161,2.895,16.128,450,8,7,0
10062,0.275,0.037,0.918,0.269,0.178,2.688,18.635,450,8,7,20
10063,0.278,0.037,0.944,0.277,0.153,3.078,15.417,450,8,7,10
10064,0.263,0.036,0.788,0.259,0.161,3.029,17.430,450,8,7,25
10065,0.275,0.037,0.995,0.272,0.161,2.939,16.641,450,8,7,15
10066,0.266,0.036,0.887,0.261,0.209,2.408,22.671,450,8,9,30
10067,0.277,0.037,0.984,0.274,0.153,3.096,15.606,450,8,9,5
10068,0.277,0.037,0.984,0.274,0.153,3.096,15.606,450,8,9,0
10069,0.269,0.036,0.898,0.262,0.160,3.063,17.151,450,8,9,20
1007,0.301,0.039,0.945,0.299,0.143,3.330,13.233,350,7,4,15
10070,0.275,0.037,0.930,0.273,0.152,3.134,15.556,450,8,9,10
10071,0.269,0.036,0.897,0.261,0.164,3.046,17.650,450,8,9,25
10072,0.267,0.036,0.954,0.263,0.161,3.003,17.164,450,8,9,15
10073,0.276,0.037,1.057,0.271,0.160,3.015,16.620,450,8,2,30
10074,0.292,0.038,1.014,0.292,0.152,3.047,14.536,450,8,2,5
10075,0.294,0.038,1.103,0.292,0.151,3.072,14.414,450,8,2,0
10076,0.281,0.037,1.147,0.280,0.168,2.796,16.854,450,8,2,20
10077,0.288,0.038,1.062,0.288,0.146,3.202,14.069,450,8,2,10
10078,0.273,0.036,0.932,0.273,0.155,3.085,15.902,450,8,2,25
10079,0.290,0.038,1.054,0.286,0.156,3.007,15.231,450,8,2,15
1008,0.292,0.039,0.994,0.289,0.155,3.138,15.051,350,7,3,30
10080,0.274,0.037,1.137,0.269,0.217,2.290,22.860,450,7,8,30
10081,0.284,0.037,1.003,0.283,0.147,3.217,14.439,450,7,8,5
10082,0.284,0.037,1.003,0.283,0.147,3.217,14.439,450,7,8,0
10083,0.278,0.037,1.107,0.273,0.172,2.807,17.762,450,7,8,20
10084,0.283,0.037,0.982,0.281,0.149,3.167,14.834,450,7,8,10
10085,0.268,0.036,1.153,0.264,0.175,2.805,18.656,450,7,8,25
10086,0.275,0.037,1.032,0.275,0.165,2.904,16.780,450,7,8,15
10087,0.279,0.037,1.156,0.268,0.147,3.371,15.306,450,7,6,30
10088,0.293,0.038,1.063,0.293,0.140,3.347,13.298,450,7,6,5
10089,0.293,0.038,1.063,0.293,0.140,3.347,13.298,450,7,6,0
1009,0.311,0.040,1.012,0.309,0.138,3.409,12.302,350,7,3,5
10090,0.282,0.037,1.033,0.280,0.174,2.732,17.455,450,7,6,20
10091,0.292,0.038,0.980,0.290,0.135,3.521,12.852,450,7,6,10
10092,0.271,0.036,0.948,0.269,0.135,3.626,13.974,450,7,6,25
10093,0.289,0.038,1.064,0.284,0.148,3.213,14.548,450,7,6,15
10094,0.271,0.037,1.099,0.269,0.194,2.643,20.388,450,7,10,30
10095,0.275,0.037,1.144,0.278,0.137,3.541,13.648,450,7,10,5
10096,0.275,0.037,1.144,0.278,0.137,3.541,13.648,450,7,10,0
10097,0.281,0.038,1.258,0.268,0.192,2.577,20.186,450,7,10,20
10098,0.275,0.037,1.144,0.278,0.137,3.541,13.648,450,7,10,10
10099,0.271,0.037,1.210,0.269,0.189,2.656,19.918,450,7,10,25
101,0.276,0.037,0.871,0.276,0.132,3.639,13.254,600,2,3,20
1010,0.313,0.041,1.024,0.310,0.140,3.353,12.463,350,7,3,0
10100,0.271,0.036,0.983,0.268,0.146,3.376,15.200,450,7,10,15
10101,0.279,0.037,1.080,0.275,0.147,3.345,14.904,450,7,4,30
10102,0.296,0.039,1.075,0.296,0.139,3.354,13.049,450,7,4,5
10103,0.296,0.039,1.024,0.297,0.141,3.315,13.151,450,7,4,0
10104,0.289,0.038,1.082,0.283,0.170,2.779,16.914,450,7,4,20
10105,0.296,0.039,1.054,0.294,0.128,3.705,12.007,450,7,4,10
10106,0.279,0.037,0.952,0.276,0.150,3.207,15.251,450,7,4,25
10107,0.292,0.038,1.181,0.290,0.139,3.423,13.272,450,7,4,15
10108,0.282,0.038,1.055,0.276,0.155,3.134,15.746,450,7,3,30
10109,0.299,0.039,1.146,0.299,0.144,3.237,13.394,450,7,3,5
1011,0.299,0.039,1.144,0.298,0.161,2.945,15.091,350,7,3,20
10110,0.302,0.039,1.050,0.300,0.142,3.277,13.184,450,7,3,0
10111,0.293,0.039,1.081,0.287,0.163,2.907,15.893,450,7,3,20
10112,0.297,0.039,1.009,0.296,0.137,3.435,12.811,450,7,3,10
10113,0.284,0.038,1.039,0.279,0.143,3.382,14.275,450,7,3,25
10114,0.293,0.038,1.163,0.293,0.147,3.216,13.947,450,7,3,15
10115,0.276,0.037,1.033,0.271,0.143,3.452,14.730,450,7,5,30
10116,0.297,0.039,1.032,0.295,0.139,3.377,13.046,450,7,5,5
10117,0.297,0.039,1.032,0.295,0.139,3.377,13.046,450,7,5,0
10118,0.291,0.038,1.151,0.282,0.168,2.833,16.720,450,7,5,20
10119,0.291,0.038,1.108,0.292,0.133,3.566,12.598,450,7,5,10
1012,0.307,0.040,1.075,0.305,0.135,3.491,12.253,350,7,3,10
10120,0.277,0.037,0.990,0.274,0.143,3.395,14.602,450,7,5,25
10121,0.290,0.038,1.060,0.287,0.143,3.324,13.838,450,7,5,15
10122,0.284,0.038,1.050,0.282,0.160,3.018,15.880,450,7,1,30
10123,0.307,0.040,1.189,0.302,0.140,3.343,12.812,450,7,1,5
10124,0.308,0.040,1.131,0.302,0.140,3.330,12.825,450,7,1,0
10125,0.296,0.039,1.213,0.292,0.145,3.265,13.809,450,7,1,20
10126,0.301,0.039,0.988,0.299,0.135,3.479,12.494,450,7,1,10
10127,0.290,0.038,1.025,0.285,0.146,3.285,14.251,450,7,1,25
10128,0.300,0.039,1.086,0.297,0.141,3.334,13.179,450,7,1,15
10129,0.274,0.037,1.202,0.268,0.172,2.883,18.007,450,7,7,30
1013,0.294,0.039,1.029,0.292,0.141,3.443,13.409,350,7,3,25
10130,0.290,0.038,1.025,0.288,0.145,3.231,14.035,450,7,7,5
10131,0.290,0.038,1.025,0.288,0.145,3.231,14.035,450,7,7,0
10132,0.281,0.037,0.981,0.276,0.170,2.818,17.292,450,7,7,20
10133,0.286,0.038,1.028,0.285,0.142,3.320,13.917,450,7,7,10
10134,0.268,0.036,0.910,0.266,0.148,3.315,15.532,450,7,7,25
10135,0.283,0.037,0.900,0.280,0.153,3.115,15.247,450,7,7,15
10136,0.270,0.037,1.096,0.267,0.195,2.583,20.674,450,7,9,30
10137,0.283,0.037,0.995,0.282,0.145,3.270,14.397,450,7,9,5
10138,0.283,0.037,0.995,0.282,0.145,3.270,14.397,450,7,9,0
10139,0.269,0.036,0.990,0.270,0.150,3.283,15.578,450,7,9,20
1014,0.304,0.040,0.865,0.301,0.148,3.191,13.670,350,7,3,15
10140,0.279,0.037,1.067,0.281,0.145,3.292,14.408,450,7,9,10
10141,0.270,0.036,1.169,0.267,0.156,3.211,16.370,450,7,9,25
10142,0.268,0.036,0.933,0.271,0.156,3.107,16.120,450,7,9,15
10143,0.282,0.038,0.981,0.278,0.153,3.182,15.375,450,7,2,30
10144,0.300,0.039,1.101,0.299,0.145,3.213,13.453,450,7,2,5
10145,0.305,0.040,1.232,0.300,0.141,3.301,13.055,450,7,2,0
10146,0.295,0.039,1.222,0.290,0.155,3.055,14.912,450,7,2,20
10147,0.298,0.039,1.071,0.296,0.136,3.458,12.713,450,7,2,10
10148,0.289,0.038,0.963,0.282,0.150,3.199,14.844,450,7,2,25
10149,0.292,0.038,1.156,0.294,0.147,3.200,13.901,450,7,2,15
1015,0.288,0.038,0.984,0.283,0.151,3.264,14.928,350,7,5,30
10150,0.306,0.040,1.234,0.295,0.174,2.889,16.551,450,4,8,30
10151,0.322,0.042,0.994,0.310,0.129,3.713,11.454,450,4,8,5
10152,0.322,0.042,0.994,0.310,0.129,3.713,11.454,450,4,8,0
10153,0.310,0.041,1.024,0.299,0.160,3.043,14.958,450,4,8,20
10154,0.321,0.042,0.921,0.310,0.131,3.681,11.599,450,4,8,10
10155,0.303,0.040,1.169,0.292,0.148,3.364,14.113,450,4,8,25
10156,0.310,0.041,1.150,0.300,0.146,3.313,13.513,450,4,8,15
10157,0.306,0.040,1.011,0.300,0.137,3.650,12.672,450,4,6,30
10158,0.333,0.043,1.177,0.324,0.127,3.777,10.655,450,4,6,5
10159,0.333,0.043,1.177,0.324,0.127,3.777,10.655,450,4,6,0
1016,0.307,0.040,0.943,0.305,0.136,3.458,12.302,350,7,5,5
10160,0.315,0.041,1.025,0.306,0.153,3.145,13.942,450,4,6,20
10161,0.324,0.042,0.998,0.320,0.125,3.846,10.690,450,4,6,10
10162,0.313,0.041,1.131,0.300,0.123,4.035,11.302,450,4,6,25
10163,0.316,0.041,1.017,0.313,0.130,3.726,11.391,450,4,6,15
10164,0.291,0.039,1.020,0.290,0.176,2.940,17.013,450,4,10,30
10165,0.321,0.042,1.297,0.303,0.133,3.675,12.073,450,4,10,5
10166,0.321,0.042,1.297,0.303,0.133,3.675,12.073,450,4,10,0
10167,0.305,0.040,1.141,0.295,0.157,3.192,14.869,450,4,10,20
10168,0.321,0.042,1.297,0.303,0.133,3.675,12.073,450,4,10,10
10169,0.304,0.040,1.185,0.292,0.164,3.105,15.704,450,4,10,25
1017,0.307,0.040,0.943,0.305,0.136,3.458,12.302,350,7,5,0
10170,0.298,0.039,1.006,0.292,0.137,3.637,12.976,450,4,10,15
10171,0.312,0.041,1.054,0.305,0.138,3.589,12.547,450,4,4,30
10172,0.334,0.043,0.906,0.328,0.133,3.573,11.096,450,4,4,5
10173,0.332,0.043,0.941,0.326,0.133,3.550,11.207,450,4,4,0
10174,0.316,0.041,1.080,0.312,0.147,3.272,13.053,450,4,4,20
10175,0.328,0.042,1.023,0.326,0.118,4.083,9.854,450,4,4,10
10176,0.317,0.041,1.223,0.307,0.139,3.506,12.567,450,4,4,25
10177,0.323,0.042,0.994,0.320,0.141,3.384,12.164,450,4,4,15
10178,0.307,0.040,1.098,0.306,0.139,3.540,12.638,450,4,3,30
10179,0.337,0.043,0.916,0.332,0.132,3.582,10.921,450,4,3,5
1018,0.292,0.038,1.201,0.295,0.167,2.853,15.827,350,7,5,20
10180,0.340,0.043,1.030,0.332,0.135,3.513,11.106,450,4,3,0
10181,0.321,0.042,1.070,0.318,0.138,3.494,11.973,450,4,3,20
10182,0.332,0.043,0.953,0.327,0.122,3.923,10.186,450,4,3,10
10183,0.316,0.041,1.125,0.311,0.131,3.740,11.578,450,4,3,25
10184,0.331,0.043,1.046,0.324,0.142,3.361,12.067,450,4,3,15
10185,0.312,0.041,1.005,0.304,0.136,3.668,12.395,450,4,5,30
10186,0.329,0.042,0.902,0.324,0.130,3.649,10.990,450,4,5,5
10187,0.329,0.042,0.902,0.324,0.130,3.649,10.990,450,4,5,0
10188,0.315,0.041,1.033,0.309,0.149,3.228,13.381,450,4,5,20
10189,0.328,0.042,1.067,0.325,0.124,3.898,10.352,450,4,5,10
1019,0.308,0.040,1.013,0.301,0.131,3.619,12.028,350,7,5,10
10190,0.311,0.041,1.065,0.304,0.127,3.891,11.489,450,4,5,25
10191,0.319,0.041,0.962,0.316,0.129,3.754,11.174,450,4,5,15
10192,0.321,0.042,1.005,0.314,0.141,3.469,12.451,450,4,1,30
10193,0.348,0.044,1.059,0.338,0.129,3.671,10.418,450,4,1,5
10194,0.341,0.044,1.125,0.339,0.130,3.660,10.428,450,4,1,0
10195,0.331,0.043,1.036,0.325,0.134,3.588,11.322,450,4,1,20
10196,0.339,0.043,0.861,0.333,0.120,3.995,9.800,450,4,1,10
10197,0.333,0.043,1.283,0.321,0.128,3.830,10.876,450,4,1,25
10198,0.324,0.042,0.936,0.326,0.121,3.985,10.089,450,4,1,15
10199,0.305,0.040,1.132,0.299,0.145,3.476,13.442,450,4,7,30
102,0.281,0.037,0.968,0.280,0.172,2.682,17.325,600,2,3,10
1020,0.288,0.038,0.925,0.285,0.143,3.397,14.026,350,7,5,25
10200,0.323,0.042,0.972,0.318,0.131,3.644,11.291,450,4,7,5
10201,0.323,0.042,0.972,0.318,0.131,3.644,11.291,450,4,7,0
10202,0.313,0.041,1.027,0.305,0.148,3.286,13.487,450,4,7,20
10203,0.316,0.041,1.136,0.316,0.128,3.768,11.083,450,4,7,10
10204,0.316,0.041,1.286,0.299,0.135,3.672,12.523,450,4,7,25
10205,0.313,0.041,1.028,0.308,0.145,3.316,13.047,450,4,7,15
10206,0.296,0.039,1.203,0.291,0.179,2.846,17.278,450,4,9,30
10207,0.316,0.041,0.974,0.309,0.134,3.608,11.900,450,4,9,5
10208,0.316,0.041,0.974,0.309,0.134,3.608,11.900,450,4,9,0
10209,0.304,0.040,1.001,0.297,0.137,3.626,12.846,450,4,9,20
1021,0.297,0.039,1.075,0.297,0.138,3.446,12.905,350,7,5,15
10210,0.315,0.041,1.078,0.308,0.130,3.723,11.633,450,4,9,10
10211,0.303,0.040,1.185,0.292,0.135,3.778,12.750,450,4,9,25
10212,0.311,0.041,1.096,0.299,0.138,3.569,12.763,450,4,9,15
10213,0.321,0.042,1.173,0.310,0.144,3.398,12.897,450,4,2,30
10214,0.338,0.043,1.038,0.333,0.131,3.609,10.769,450,4,2,5
10215,0.345,0.044,1.167,0.334,0.130,3.641,10.638,450,4,2,0
10216,0.324,0.042,1.037,0.321,0.139,3.448,11.960,450,4,2,20
10217,0.338,0.043,1.126,0.330,0.121,3.978,9.944,450,4,2,10
10218,0.324,0.042,1.277,0.317,0.136,3.589,11.791,450,4,2,25
10219,0.330,0.043,1.046,0.327,0.136,3.508,11.445,450,4,2,15
1022,0.296,0.039,0.989,0.295,0.150,3.244,14.130,350,7,1,30
10220,0.278,0.037,0.999,0.277,0.196,2.547,19.968,450,6,8,30
10221,0.291,0.038,1.062,0.293,0.141,3.372,13.313,450,6,8,5
10222,0.291,0.038,1.062,0.293,0.141,3.372,13.313,450,6,8,0
10223,0.286,0.038,1.054,0.283,0.164,2.957,16.289,450,6,8,20
10224,0.299,0.039,1.021,0.291,0.139,3.424,13.276,450,6,8,10
10225,0.277,0.037,0.996,0.274,0.164,3.002,16.834,450,6,8,25
10226,0.287,0.038,0.935,0.284,0.156,3.077,15.386,450,6,8,15
10227,0.285,0.038,1.003,0.279,0.141,3.525,14.093,450,6,6,30
10228,0.303,0.039,1.011,0.303,0.138,3.408,12.621,450,6,6,5
10229,0.303,0.039,1.011,0.303,0.138,3.408,12.621,450,6,6,0
1023,0.313,0.041,1.139,0.313,0.139,3.354,12.310,350,7,1,5
10230,0.293,0.039,0.985,0.291,0.168,2.834,16.231,450,6,6,20
10231,0.300,0.039,1.140,0.300,0.136,3.483,12.563,450,6,6,10
10232,0.279,0.037,0.949,0.278,0.136,3.601,13.596,450,6,6,25
10233,0.298,0.039,1.088,0.293,0.150,3.175,14.263,450,6,6,15
10234,0.283,0.038,1.102,0.275,0.189,2.710,19.441,450,6,10,30
10235,0.286,0.038,0.978,0.287,0.134,3.621,12.968,450,6,10,5
10236,0.286,0.038,0.978,0.287,0.134,3.621,12.968,450,6,10,0
10237,0.279,0.037,0.878,0.278,0.178,2.791,18.037,450,6,10,20
10238,0.286,0.038,0.978,0.287,0.134,3.621,12.968,450,6,10,10
10239,0.283,0.038,1.031,0.276,0.185,2.722,18.921,450,6,10,25
1024,0.319,0.041,1.171,0.313,0.143,3.261,12.631,350,7,1,0
10240,0.284,0.038,0.903,0.278,0.140,3.530,14.026,450,6,10,15
10241,0.290,0.038,1.070,0.285,0.149,3.289,14.614,450,6,4,30
10242,0.308,0.040,1.055,0.308,0.136,3.449,12.238,450,6,4,5
10243,0.308,0.040,1.036,0.309,0.139,3.368,12.470,450,6,4,0
10244,0.293,0.039,1.134,0.293,0.162,2.928,15.503,450,6,4,20
10245,0.303,0.040,1.074,0.303,0.126,3.793,11.376,450,6,4,10
10246,0.286,0.038,1.123,0.285,0.138,3.536,13.384,450,6,4,25
10247,0.296,0.039,0.949,0.300,0.142,3.335,13.164,450,6,4,15
10248,0.289,0.038,1.075,0.286,0.155,3.144,15.156,450,6,3,30
10249,0.311,0.040,0.969,0.311,0.139,3.363,12.398,450,6,3,5
1025,0.304,0.040,1.049,0.302,0.145,3.275,13.333,350,7,1,20
10250,0.314,0.041,0.956,0.311,0.142,3.282,12.665,450,6,3,0
10251,0.299,0.039,1.135,0.297,0.169,2.788,16.013,450,6,3,20
10252,0.308,0.040,1.076,0.306,0.132,3.577,11.897,450,6,3,10
10253,0.290,0.038,1.080,0.289,0.133,3.662,12.722,450,6,3,25
10254,0.301,0.039,0.965,0.302,0.149,3.162,13.756,450,6,3,15
10255,0.283,0.038,1.023,0.282,0.143,3.467,14.102,450,6,5,30
10256,0.306,0.040,1.173,0.305,0.136,3.446,12.368,450,6,5,5
10257,0.306,0.040,1.173,0.305,0.136,3.446,12.368,450,6,5,0
10258,0.292,0.038,1.032,0.291,0.160,2.971,15.451,450,6,5,20
10259,0.299,0.039,0.998,0.300,0.135,3.513,12.420,450,6,5,10
1026,0.314,0.041,1.051,0.310,0.133,3.541,11.831,350,7,1,10
10260,0.282,0.038,0.985,0.283,0.142,3.432,13.967,450,6,5,25
10261,0.298,0.039,1.006,0.297,0.150,3.148,14.140,450,6,5,15
10262,0.296,0.039,1.089,0.292,0.153,3.164,14.631,450,6,1,30
10263,0.323,0.042,1.059,0.313,0.136,3.461,11.930,450,6,1,5
10264,0.328,0.042,1.146,0.315,0.136,3.445,11.896,450,6,1,0
10265,0.302,0.039,1.099,0.302,0.146,3.259,13.373,450,6,1,20
10266,0.313,0.041,0.993,0.309,0.130,3.633,11.562,450,6,1,10
10267,0.300,0.039,1.130,0.295,0.144,3.329,13.580,450,6,1,25
10268,0.311,0.040,0.933,0.307,0.140,3.374,12.604,450,6,1,15
10269,0.280,0.038,1.025,0.277,0.159,3.128,16.071,450,6,7,30
1027,0.300,0.039,1.056,0.297,0.144,3.346,13.438,350,7,1,25
10270,0.298,0.039,1.168,0.298,0.148,3.183,13.772,450,6,7,5
10271,0.298,0.039,1.168,0.298,0.148,3.183,13.772,450,6,7,0
10272,0.291,0.038,0.986,0.285,0.162,2.977,15.889,450,6,7,20
10273,0.292,0.038,1.109,0.294,0.138,3.443,13.011,450,6,7,10
10274,0.282,0.038,0.935,0.278,0.142,3.476,14.203,450,6,7,25
10275,0.294,0.039,0.915,0.290,0.149,3.210,14.336,450,6,7,15
10276,0.274,0.037,1.033,0.273,0.186,2.727,19.168,450,6,9,30
10277,0.295,0.039,0.945,0.290,0.138,3.457,13.226,450,6,9,5
10278,0.295,0.039,0.945,0.290,0.138,3.457,13.226,450,6,9,0
10279,0.283,0.038,0.930,0.279,0.140,3.550,13.933,450,6,9,20
1028,0.309,0.040,1.051,0.307,0.139,3.389,12.562,350,7,1,15
10280,0.291,0.038,0.854,0.289,0.136,3.523,13.091,450,6,9,10
10281,0.281,0.038,0.992,0.276,0.151,3.315,15.348,450,6,9,25
10282,0.282,0.038,0.935,0.280,0.153,3.176,15.252,450,6,9,15
10283,0.291,0.038,0.980,0.289,0.150,3.253,14.450,450,6,2,30
10284,0.313,0.040,0.886,0.311,0.141,3.305,12.584,450,6,2,5
10285,0.315,0.041,0.984,0.312,0.140,3.331,12.440,450,6,2,0
10286,0.302,0.040,1.129,0.300,0.156,3.026,14.564,450,6,2,20
10287,0.309,0.040,1.018,0.307,0.135,3.490,12.150,450,6,2,10
10288,0.296,0.039,1.136,0.293,0.143,3.375,13.552,450,6,2,25
10289,0.308,0.040,0.969,0.304,0.145,3.248,13.276,450,6,2,15
1029,0.283,0.038,1.110,0.279,0.172,2.873,17.381,350,7,7,30
10290,0.178,0.027,1.146,0.172,0.630,0.777,104.763,450,1,8,30
10291,0.201,0.029,1.280,0.198,2.898,0.157,418.918,450,1,8,5
10292,0.201,0.029,1.280,0.198,2.898,0.157,418.918,450,1,8,0
10293,0.181,0.027,1.100,0.180,0.362,-1.307,57.564,450,1,8,20
10294,0.176,0.027,1.172,0.181,4.048,-0.113,640.419,450,1,8,10
10295,0.162,0.026,1.164,0.163,0.500,0.961,87.659,450,1,8,25
10296,0.184,0.027,1.139,0.185,0.792,0.588,122.602,450,1,8,15
10297,0.160,0.026,1.118,0.155,0.170,2.847,31.246,450,1,6,30
10298,0.183,0.027,0.865,0.185,0.189,2.412,29.033,450,1,6,5
10299,0.183,0.027,0.865,0.185,0.189,2.412,29.033,450,1,6,0
103,0.287,0.038,1.060,0.282,0.128,3.822,12.525,600,2,3,25
1030,0.299,0.039,1.157,0.300,0.144,3.270,13.347,350,7,7,5
10300,0.213,0.030,1.154,0.207,1.100,0.422,152.250,450,1,6,20
10301,0.200,0.029,1.066,0.204,0.292,1.562,40.927,450,1,6,10
10302,0.201,0.029,0.943,0.192,0.302,1.565,44.966,450,1,6,25
10303,0.195,0.028,1.020,0.192,0.171,2.721,25.255,450,1,6,15
10304,0.186,0.028,0.827,0.181,0.334,1.513,52.596,450,1,10,30
10305,0.176,0.027,0.988,0.177,0.225,2.078,36.290,450,1,10,5
10306,0.176,0.027,0.988,0.177,0.225,2.078,36.290,450,1,10,0
10307,0.176,0.027,1.168,0.178,0.238,2.052,38.148,450,1,10,20
10308,0.176,0.027,0.988,0.177,0.225,2.078,36.290,450,1,10,10
10309,0.173,0.027,1.010,0.175,0.175,2.865,28.359,450,1,10,25
1031,0.299,0.039,1.157,0.300,0.144,3.270,13.347,350,7,7,0
10310,0.182,0.027,0.845,0.183,0.104,4.749,15.966,450,1,10,15
10311,0.190,0.028,1.102,0.184,0.249,1.917,38.630,450,1,4,30
10312,0.186,0.027,0.987,0.188,0.140,3.276,21.098,450,1,4,5
10313,0.185,0.027,0.972,0.185,0.118,3.920,17.939,450,1,4,0
10314,0.179,0.027,1.032,0.181,0.156,2.997,24.593,450,1,4,20
10315,0.190,0.028,1.072,0.190,0.139,3.317,20.684,450,1,4,10
10316,0.175,0.027,1.080,0.176,0.274,1.712,44.377,450,1,4,25
10317,0.207,0.029,0.950,0.205,0.226,2.040,31.340,450,1,4,15
